#{"t_start": 1782301885.8293364, "env_id": "None"}
r,l,t
3575.0,1000,1.962669
3072.0,1000,2.706274
1891.0,1000,3.412196
2918.0,1000,4.128823
1587.0,1000,4.92621
1713.0,1000,5.751316
3955.0,1000,6.588258
2183.0,1000,7.481497
3254.0,1000,8.154731
2180.0,1000,8.941897
3517.0,1000,9.834626
4115.0,1000,10.684415
4004.0,1000,11.429598
1904.0,1000,12.285682
1174.0,1000,13.177427
2453.0,1000,14.111825
3965.0,1000,15.054978
4145.0,1000,15.868098
4127.0,1000,16.559742
4261.0,1000,17.322722
2279.0,1000,18.307255
2120.0,1000,19.271388
4149.0,1000,20.19103
4067.0,1000,21.08169
3511.0,1000,22.072686
3760.0,1000,22.921033
4012.0,1000,23.799857
205.0,1000,24.644493
2844.0,1000,25.857769
4250.0,1000,26.663763
4120.0,1000,27.536419
4160.0,1000,28.462805
2111.0,1000,29.296963
2564.0,1000,30.016631
4016.0,1000,30.855078
392.0,1000,31.695182
4195.0,1000,32.669819
1084.0,1000,33.550148
430.0,1000,34.580392
4093.0,1000,35.64758
4269.0,1000,36.570117
197.0,1000,37.439468
1311.0,1000,38.117604
2178.0,1000,38.981557
3989.0,1000,40.009113
4075.0,1000,40.881018
274.0,1000,41.705028
2476.0,1000,42.586709
4188.0,1000,43.566059
2174.0,1000,44.229479
