#{"t_start": 1782369822.9129455, "env_id": "None"}
r,l,t
3160.0,1000,2.235666
3958.0,1000,3.027233
4055.0,1000,3.86247
3645.0,1000,4.747697
2727.0,1000,5.651957
3439.0,1000,6.641304
2706.0,1000,7.672486
2998.0,1000,8.45106
2903.0,1000,9.600662
2545.0,1000,10.755504
3130.0,1000,11.883368
2151.0,1000,13.120915
3535.0,1000,14.465434
4029.0,1000,15.662064
2783.0,1000,16.90733
4061.0,1000,17.989104
2873.0,1000,19.327807
2419.0,1000,20.527831
3860.0,1000,21.684832
2306.0,1000,22.870199
2108.0,1000,24.135547
3157.0,1000,25.26404
2704.0,1000,26.362912
3326.0,1000,27.60996
2351.0,1000,28.747039
3017.0,1000,30.16593
4887.0,1000,31.347334
4595.0,1000,32.615489
4129.0,1000,34.429467
3139.0,1000,35.482883
2170.0,1000,36.387744
4074.0,1000,37.481057
4679.0,1000,38.408715
3345.0,1000,39.405569
2615.0,1000,40.556775
3794.0,1000,41.561959
3461.0,1000,42.624749
3149.0,1000,43.608684
1581.0,1000,44.603434
2812.0,1000,45.565413
3332.0,1000,46.523056
3055.0,1000,47.707751
4455.0,1000,48.824724
1751.0,1000,49.785843
3386.0,1000,50.781463
3962.0,1000,51.973063
3594.0,1000,53.085479
2896.0,1000,53.995867
1548.0,1000,55.102285
3485.0,1000,56.20491
